module,target,total,missing,real_missing,crc_mismatch,result
esp4,ubuntu-24.04-ga,74,6,2,68,FAIL
esp4,ubuntu-24.04-hwe,74,0,0,0,PASS
esp6,ubuntu-24.04-ga,77,6,2,71,FAIL
esp6,ubuntu-24.04-hwe,77,0,0,0,PASS
intel-lpss-pci,ubuntu-24.04-ga,19,0,0,19,FAIL
intel-lpss-pci,ubuntu-24.04-hwe,19,0,0,0,PASS
intel_pmc_core,ubuntu-24.04-ga,85,7,4,78,FAIL
intel_pmc_core,ubuntu-24.04-hwe,85,0,0,0,PASS
intel_pmc_ssram_telemetry,ubuntu-24.04-ga,14,1,0,13,FAIL
intel_pmc_ssram_telemetry,ubuntu-24.04-hwe,14,0,0,0,PASS
mei-gsc,ubuntu-24.04-ga,41,0,0,41,FAIL
mei-gsc,ubuntu-24.04-hwe,41,0,0,0,PASS
mei,ubuntu-24.04-ga,133,10,4,123,FAIL
mei,ubuntu-24.04-hwe,133,0,0,0,PASS
mei-txe,ubuntu-24.04-ga,67,3,1,64,FAIL
mei-txe,ubuntu-24.04-hwe,67,0,0,0,PASS
mei-vsc,ubuntu-24.04-ga,42,1,0,41,FAIL
mei-vsc,ubuntu-24.04-hwe,42,0,0,0,PASS
mipi-i3c-hci-pci,ubuntu-24.04-ga,21,1,0,20,FAIL
mipi-i3c-hci-pci,ubuntu-24.04-hwe,21,0,0,0,PASS
pmt_class,ubuntu-24.04-ga,29,1,0,28,FAIL
pmt_class,ubuntu-24.04-hwe,29,0,0,0,PASS
pmt_crashlog,ubuntu-24.04-ga,18,1,0,17,FAIL
pmt_crashlog,ubuntu-24.04-hwe,18,0,0,0,PASS
pmt_discovery,ubuntu-24.04-ga,26,2,1,24,FAIL
pmt_discovery,ubuntu-24.04-hwe,26,0,0,0,PASS
pmt_telemetry,ubuntu-24.04-ga,27,6,3,21,FAIL
pmt_telemetry,ubuntu-24.04-hwe,27,0,0,0,PASS
ufshcd-pci,ubuntu-24.04-ga,46,3,2,43,FAIL
ufshcd-pci,ubuntu-24.04-hwe,46,0,0,0,PASS
xe,ubuntu-24.04-ga,1187,120,105,1067,FAIL
xe,ubuntu-24.04-hwe,1187,0,0,0,PASS
